Item,Q4 2004,Q4 2005,Q4 2006,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,120632118720.0,87745957877.0,93041065220.0,190939623666.0,207638166493.0,167315854495.0,149574327376.0,172056532172.0,141799128765.0,149552781809.0,133490352774.0,129710947243.0,158339318414.0,179349473219.0,161606832505.0,152804408190.0,155009198339.0,186008124923.0,158607774401.0,154727089648.0,158525490762.0,169787816753.0,163522386845.0,169412944300.0,179778311169.0,161153940242.0,178460698112.0,199869376061.0,198626163056.0,207617567558.0,206236471073.0,209480691315.0,245622335458.0,263991787064.0,286998082906.0,262972730141.0,285197998399.0,321090864276.0,308239663164.0,312913282652.0,284508361233.0,283183681470.0,311279586961.0,352938889387.0,310933055300.0,336161793453.0,339866276388.0,344193029443.0,347338263007.0,342939974103.0,362636924677.0,380796337728.0,329253353603.0,364469463460.0,352452359250.0,317832949017.0,341217355838.0,438167408794.0,352949771035.0,310480570789.0,304740390908.0,377169854547.0,336832929113.0,613405459909.0,276301356434.0,309921704172.0,292199010310.0,274883066864.0,274607620861.0
I. Tiền và các khoản tương đương tiền,17809668003.0,17487672187.0,15811393044.0,78386426254.0,24664290518.0,50673257180.0,54525233923.0,44182417521.0,17869289963.0,24749066212.0,27504933485.0,38453200252.0,60715489672.0,52100994407.0,17989243471.0,29761271651.0,29894844807.0,37135505865.0,28442305624.0,23706498479.0,39203306327.0,81600235443.0,79077933393.0,65549705779.0,64121203871.0,62312658597.0,63268614869.0,100057897879.0,97993451623.0,83721906105.0,80182532327.0,78704084303.0,99720160011.0,101151672245.0,130324992073.0,104494701496.0,103569937772.0,149570935346.0,117180698411.0,147027376459.0,98150914917.0,98262945780.0,43589611206.0,55216074289.0,65204044049.0,121199288624.0,96275988174.0,119855015124.0,126172574100.0,83740004120.0,66836979986.0,77838650682.0,79088222451.0,89745658854.0,65441653647.0,88177671826.0,84085207025.0,139205367924.0,88966899582.0,68608870261.0,80041878469.0,77694953913.0,69635220030.0,243903076828.0,71446798867.0,266876794637.0,9464474089.0,51510369730.0,17267788202.0
1. Tiền,17809668003.0,17487672187.0,15811393044.0,32758986554.0,24664290518.0,,,30682417521.0,14361874963.0,23749066212.0,14704933485.0,21553200252.0,25915489672.0,28400994407.0,17989243471.0,28761271651.0,26194844807.0,22335505865.0,21942305624.0,17206498479.0,22923306327.0,18543167443.0,11952759670.0,19799509498.0,15829568935.0,26997772972.0,13428920658.0,22387053847.0,14191031721.0,24883705787.0,28366231470.0,11321592131.0,24659209233.0,50068291145.0,38321992073.0,26251701496.0,15468937772.0,38607018679.0,20837431740.0,38293013812.0,26658344451.0,24057508785.0,20309813897.0,13844597838.0,15136396409.0,31509372134.0,23555635516.0,29822830508.0,26531230764.0,25854072590.0,26316146830.0,22137563995.0,22237299035.0,34622302576.0,10875605689.0,11881636387.0,13259822946.0,44300140039.0,13936577085.0,6817154901.0,8321712253.0,15165009771.0,14228608020.0,7049468611.0,4710505917.0,1531122693.0,9464474089.0,51510369730.0,17267788202.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,45627439700.0,0.0,,,13500000000.0,3507415000.0,1000000000.0,12800000000.0,16900000000.0,34800000000.0,23700000000.0,0.0,1000000000.0,3700000000.0,14800000000.0,6500000000.0,6500000000.0,16280000000.0,63057068000.0,67125173723.0,45750196281.0,48291634936.0,35314885625.0,49839694211.0,77670844032.0,83802419902.0,58838200318.0,51816300857.0,67382492172.0,75060950778.0,51083381100.0,92003000000.0,78243000000.0,88101000000.0,110963916667.0,96343266671.0,108734362647.0,71492570466.0,74205436995.0,23279797309.0,41371476451.0,50067647640.0,89689916490.0,72720352658.0,90032184616.0,99641343336.0,57885931530.0,40520833156.0,55701086687.0,56850923416.0,55123356278.0,54566047958.0,76296035439.0,70825384079.0,94905227885.0,75030322497.0,61791715360.0,71720166216.0,62529944142.0,55406612010.0,236853608217.0,66736292950.0,265345671944.0,0.0,0.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,16495343926.0,3000000000.0,5000000000.0,0.0,4500000000.0,5000000000.0,5000000000.0,6600000000.0,3600000000.0,4500000000.0,0.0,2900000000.0,2900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345000000.0,345000000.0,345000000.0,345000000.0,345000000.0,345000000.0,10432000000.0,17732000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1900000000.0,0.0,4747520261.0,5747520261.0,5464606599.0,20593664376.0,22918946528.0,9027865121.0,13921693321.0,16478808389.0,18832994312.0,36444983523.0,21426229211.0,451786980.0,20358889878.0,21370930086.0,6812610581.0,8364801045.0,9449626914.0,6236685227.0,0.0,0.0,3000000000.0,0.0,0.0
1. Chứng khoán kinh doanh,0.0,0.0,16495343926.0,3000000000.0,5000000000.0,0.0,,5000000000.0,5000000000.0,6600000000.0,3600000000.0,4500000000.0,0.0,2900000000.0,2900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345000000.0,345000000.0,345000000.0,345000000.0,345000000.0,345000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10432000000.0,17732000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1900000000.0,0.0,4747520261.0,5747520261.0,5464606599.0,20593664376.0,22918946528.0,9027865121.0,13921693321.0,16478808389.0,18832994312.0,36444983523.0,21426229211.0,451786980.0,20358889878.0,21370930086.0,6812610581.0,8364801045.0,9449626914.0,6236685227.0,0.0,0.0,3000000000.0,0.0,0.0
III. Các khoản phải thu ngắn hạn,16777448873.0,25689236909.0,24045427612.0,53920277376.0,55221079745.0,72148788624.0,53587614175.0,68523705560.0,47913264548.0,48431562298.0,45609461777.0,51082091181.0,52624911199.0,61396211114.0,55209310320.0,43053491510.0,40575489666.0,46535087324.0,44520642272.0,35990428244.0,40504631356.0,37192523324.0,29000068162.0,35175044137.0,38373190719.0,36300928202.0,39914211967.0,30029300555.0,38098985040.0,52636210734.0,49993105621.0,32362881654.0,53420424371.0,60280390462.0,49349116284.0,51006914075.0,63453604611.0,56609662845.0,54237735823.0,63961310417.0,61685048651.0,74878357939.0,68755924867.0,108479313187.0,103289958174.0,70499012476.0,67910300483.0,80906952450.0,74296193672.0,105252778580.0,89793577255.0,86379389815.0,86503831546.0,90130816256.0,78271954878.0,77980612476.0,69013601489.0,178757540318.0,89790188304.0,100165814265.0,83491889520.0,125327821516.0,125483788147.0,336667600139.0,204834039462.0,43044909535.0,264738055576.0,220569000000.0,254704479488.0
1. Phải thu ngắn hạn của khách hàng,14718303575.0,18215790646.0,17301777991.0,24833486743.0,27586606915.0,,,29474743184.0,38930511001.0,33105726973.0,26563658751.0,34947505186.0,40121419156.0,42924850718.0,21530981913.0,37799741564.0,35994633655.0,42435151628.0,35306759399.0,30154513070.0,34709619265.0,31152983541.0,26037265549.0,26507429554.0,38102713309.0,35318874248.0,39269397379.0,29670599821.0,37469827498.0,50702615422.0,47088795163.0,30164001137.0,51704399518.0,47127328448.0,43056553628.0,43935978683.0,56975526262.0,46032696799.0,48561151911.0,56917925660.0,55709789698.0,66510953433.0,59295739548.0,84741258536.0,72059797254.0,61486194623.0,63287859450.0,71091967837.0,66885553359.0,91829892221.0,65529497473.0,71736395077.0,72328810701.0,74717777547.0,65771695493.0,69020397001.0,58623588840.0,162528922308.0,65250727163.0,73203785298.0,57240054640.0,102630927914.0,102144260194.0,287952819841.0,169910000000.0,42257292000.0,12666600115.0,2000000000.0,318927091.0
